,created_at,updated_at,title,address,city_code,location,neighborhood,categories,ranking.level,ranking.has_video,ranking.views,ranking.notifications,severity,_geoloc,updates,objectID,_highlightResult
0,1647279270000,1647279281000,Group of Men Assaulting Person,"701 S Michigan Ave, Chicago, Illinois, 60605",us-il-chicago,701 S Michigan Ave,Chicago,['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.85952201572223, 'lng': -87.62436399591358}]","[{'created_at': 1647279270000, 'text': 'Police have received an unconfirmed report of a group of men assaulting a man.'}, {'created_at': 1647279269999, 'text': 'Incident reported at 701 S Michigan Ave.'}]",-My8Ugj6P5ZSuCSjs_68,"{'created_at': {'value': '1647279270000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647279281000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Group of Men Assaulting Person', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '701 S Michigan Ave, Chicago, Illinois, 60605', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '701 S Michigan Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.85952201572223', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.62436399591358', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647279270000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a group of men assaulting a man.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647279269999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 701 S Michigan Ave.', 'matchLevel': 'none', 'matchedWords': []}}]}"
1,1647279254000,1647279254000,Student Hitting People,"1320 W 71st St, Chicago, Illinois, 60636",us-il-chicago,1320 W 71st St,"West Englewood, Chicago",['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.76506731814742, 'lng': -87.65745082318219}]","[{'created_at': 1647279253999, 'text': 'Incident reported at 1320 W 71st St.'}, {'created_at': 1647279254000, 'text': 'Police have received an unconfirmed report of a student hitting people.'}]",-My8Ueqb-GRtCEQb2y1R,"{'created_at': {'value': '1647279254000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647279254000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Student Hitting People', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '1320 W 71st St, Chicago, Illinois, 60636', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '1320 W 71st St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'West Englewood, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.76506731814742', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.65745082318219', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647279253999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 1320 W 71st St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647279254000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a student hitting people.', 'matchLevel': 'none', 'matchedWords': []}}]}"
2,1647277713000,1647277713000,Men Fighting in Vehicle,"5942 S Artesian Ave, Chicago, Illinois, 60629",us-il-chicago,5942 S Artesian Ave,Chicago,['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.78528798361555, 'lng': -87.68529598959037}]","[{'created_at': 1647277712999, 'text': 'Incident reported at 5942 S Artesian Ave.'}, {'created_at': 1647277713000, 'text': 'Police have received an unconfirmed report of men fighting in a vehicle.'}]",-My8Om_ZZyIO6nhvnYcE,"{'created_at': {'value': '1647277713000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647277713000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Men Fighting in Vehicle', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '5942 S Artesian Ave, Chicago, Illinois, 60629', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '5942 S Artesian Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.78528798361555', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.68529598959037', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647277712999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 5942 S Artesian Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277713000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of men fighting in a vehicle.', 'matchLevel': 'none', 'matchedWords': []}}]}"
3,1647277071000,1647277227000,Man Assaulting Woman,"S Cicero Ave & W Lexington St, Chicago, Illinois, 60644",us-il-chicago,S Cicero Ave & W Lexington St,"Austin, Chicago",['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.87120006041192, 'lng': -87.74494991067097}]","[{'created_at': 1647277071000, 'text': 'Police have received an unconfirmed report of a man assaulting a woman.'}, {'created_at': 1647277070999, 'text': 'Incident reported at S Cicero Ave & W Lexington St.'}]",-My8MIxLSJk5YEITcmFY,"{'created_at': {'value': '1647277071000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647277227000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Man Assaulting Woman', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'S Cicero Ave & W Lexington St, Chicago, Illinois, 60644', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'S Cicero Ave & W Lexington St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Austin, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.87120006041192', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.74494991067097', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647277071000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man assaulting a woman.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647277070999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at S Cicero Ave & W Lexington St.', 'matchLevel': 'none', 'matchedWords': []}}]}"
4,1647275092000,1647275084000,Man Assaulted Woman,"S Canalport Ave & S Ruble St, Chicago, Illinois, 60616",us-il-chicago,S Canalport Ave & S Ruble St,"Lower West Side, Chicago",['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.85595002577452, 'lng': -87.64373993857006}]","[{'created_at': 1647275092000, 'text': 'Police have received an unconfirmed report of a man assaulting a woman.'}, {'created_at': 1647275091999, 'text': 'Incident reported at S Canalport Ave & S Ruble St.'}]",-My8EkcExSMdAkYcIdTF,"{'created_at': {'value': '1647275092000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647275084000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Man Assaulted Woman', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'S Canalport Ave & S Ruble St, Chicago, Illinois, 60616', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'S Canalport Ave & S Ruble St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Lower West Side, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.85595002577452', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.64373993857006', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647275092000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man assaulting a woman.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647275091999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at S Canalport Ave & S Ruble St.', 'matchLevel': 'none', 'matchedWords': []}}]}"
5,1647267540000,1647267540000,Man Assaulted by Four People,"3600 S Dr Martin Luther King Jr Dr, Chicago, Illinois, 60616",us-il-chicago,3600 S Dr Martin Luther King Jr Dr,"Bronzeville, Chicago",['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.82912432222188, 'lng': -87.617442470384}]","[{'created_at': 1647267539999, 'text': 'Incident reported at 3600 S Dr Martin Luther King Jr Dr.'}, {'created_at': 1647267540000, 'text': 'Police have received an unconfirmed report of a man assaulted by four people. The suspects allegedly fled the scene on foot.'}]",-My7mykhy8FoRTlZBD7n,"{'created_at': {'value': '1647267540000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647267540000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Man Assaulted by Four People', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '3600 S Dr Martin Luther King Jr Dr, Chicago, Illinois, 60616', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '3600 S Dr Martin Luther King Jr Dr', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Bronzeville, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.82912432222188', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.617442470384', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647267539999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 3600 S Dr Martin Luther King Jr Dr.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647267540000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man assaulted by four people. The suspects allegedly fled the scene on foot.', 'matchLevel': 'none', 'matchedWords': []}}]}"
6,1647258053000,1647258051000,Six Men and Women Fighting,"N Dearborn St & W Hubbard St, Chicago, Illinois, 60654",us-il-chicago,N Dearborn St & W Hubbard St,"River North, Chicago",['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.89006005501844, 'lng': -87.6295798866216}]","[{'created_at': 1647258053000, 'text': 'Police have received a report of a group of six men and women are fighting in the area.'}, {'created_at': 1647258052999, 'text': 'Incident reported at N Dearborn St & W Hubbard St.'}]",-My7DmIHBimq5ouse-ye,"{'created_at': {'value': '1647258053000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647258051000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Six Men and Women Fighting', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'N Dearborn St & W Hubbard St, Chicago, Illinois, 60654', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'N Dearborn St & W Hubbard St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'River North, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.89006005501844', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.6295798866216', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647258053000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received a report of a group of six men and women are fighting in the area.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647258052999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at N Dearborn St & W Hubbard St.', 'matchLevel': 'none', 'matchedWords': []}}]}"
7,1647250241000,1647250602000,"Man Robbed, Assaulted","203 N La Salle St, Chicago, Illinois, 60601",us-il-chicago,203 N La Salle St,Chicago,['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.88606398267953, 'lng': -87.6316519769056}]","[{'created_at': 1647250240999, 'text': 'Incident reported at 203 N La Salle St.'}, {'created_at': 1647250241000, 'text': 'Police have received an unconfirmed report of a man who was robbed and assaulted.'}, {'created_at': 1647250600000, 'text': 'Police are on scene investigating and reported three men  robbed a man while inside a train.'}]",-My6kzbe9Vxum7uBFTTR,"{'created_at': {'value': '1647250241000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647250602000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Man Robbed, Assaulted', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '203 N La Salle St, Chicago, Illinois, 60601', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '203 N La Salle St', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.88606398267953', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.6316519769056', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647250240999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 203 N La Salle St.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647250241000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man who was robbed and assaulted.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647250600000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police are on scene investigating and reported three men  robbed a man while inside a train.', 'matchLevel': 'none', 'matchedWords': []}}]}"
8,1647248911000,1647248912000,Woman Assaulted by Man,"W Jackson Blvd & S Cicero Ave, Chicago, Illinois, 60644",us-il-chicago,W Jackson Blvd & S Cicero Ave,"Austin, Chicago",['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.87679003545864, 'lng': -87.74513992841595}]","[{'created_at': 1647248910999, 'text': 'Incident reported at W Jackson Blvd & S Cicero Ave.'}, {'created_at': 1647248911000, 'text': 'Police have received an unconfirmed report of a woman assaulted by a man.'}]",-My6fuzp7cnHYhQOZk4E,"{'created_at': {'value': '1647248911000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647248912000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Woman Assaulted by Man', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': 'W Jackson Blvd & S Cicero Ave, Chicago, Illinois, 60644', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': 'W Jackson Blvd & S Cicero Ave', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Austin, Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.87679003545864', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.74513992841595', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647248910999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at W Jackson Blvd & S Cicero Ave.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647248911000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a woman assaulted by a man.', 'matchLevel': 'none', 'matchedWords': []}}]}"
9,1647243943000,1647243943000,Man and Woman Fighting,"2823 W 25th Pl, Chicago, Illinois, 60623",us-il-chicago,2823 W 25th Pl,Chicago,['Assault / Fight'],1,False,0,0,yellow,"[{'lat': 41.84537399180485, 'lng': -87.69621400520961}]","[{'created_at': 1647243942999, 'text': 'Incident reported at 2823 W 25th Pl.'}, {'created_at': 1647243943000, 'text': 'Police have received an unconfirmed report of a man and a woman fighting.'}]",-My6Nxn4CwmE9jlyclPm,"{'created_at': {'value': '1647243943000', 'matchLevel': 'none', 'matchedWords': []}, 'updated_at': {'value': '1647243943000', 'matchLevel': 'none', 'matchedWords': []}, 'title': {'value': 'Man and Woman Fighting', 'matchLevel': 'none', 'matchedWords': []}, 'address': {'value': '2823 W 25th Pl, Chicago, Illinois, 60623', 'matchLevel': 'none', 'matchedWords': []}, 'city_code': {'value': 'us-il-chicago', 'matchLevel': 'none', 'matchedWords': []}, 'location': {'value': '2823 W 25th Pl', 'matchLevel': 'none', 'matchedWords': []}, 'neighborhood': {'value': 'Chicago', 'matchLevel': 'none', 'matchedWords': []}, 'categories': [{'value': '<em>Assault</em> / <em>Fight</em>', 'matchLevel': 'full', 'fullyHighlighted': True, 'matchedWords': ['assault', 'fight']}], 'ranking.level': {'value': '1', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.views': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'ranking.notifications': {'value': '0', 'matchLevel': 'none', 'matchedWords': []}, 'severity': {'value': 'yellow', 'matchLevel': 'none', 'matchedWords': []}, '_geoloc': [{'lat': {'value': '41.84537399180485', 'matchLevel': 'none', 'matchedWords': []}, 'lng': {'value': '-87.69621400520961', 'matchLevel': 'none', 'matchedWords': []}}], 'updates': [{'created_at': {'value': '1647243942999', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Incident reported at 2823 W 25th Pl.', 'matchLevel': 'none', 'matchedWords': []}}, {'created_at': {'value': '1647243943000', 'matchLevel': 'none', 'matchedWords': []}, 'text': {'value': 'Police have received an unconfirmed report of a man and a woman fighting.', 'matchLevel': 'none', 'matchedWords': []}}]}"
